#----------------ColorWord----------------#
"right upper leg","右大腿"
"right hand","右手"
"left hand","左手"
"left lower arm","左前臂"
"left upper arm","左上臂"
"right upper arm","右上臂"
"right lower arm","右前臂"
"head","头部"
"neck","脖子"
"lower body","下半身"
"upper body","上半身"
"left upper leg","左大腿"
"right lower leg","右小腿"
"left lower leg","左小腿"
"right foot","右脚"
"left foot","左脚"
"right eye","右眼"
"left eye","左眼"
"right ear","右耳"
"left ear","左耳"
"nose","鼻子"
"throat","喉咙"
"thumb","拇指"
"first finger","食指"
"second finger","中指"
"third finger","无名指"
"fourth finger","小指"
"first toe","大脚趾"
"second toe","第二脚趾"
"third toe","第三脚趾"
"fourth toe","第四脚趾"
"fifth toe","第五脚趾"
"mouth","嘴巴"
"tongue","舌头"
"left cheek","左脸颊"
"right cheek","右脸颊"
"left eyelid","左眼睑"
"right eyelid","右眼睑"
"lower lip","下唇"
"upper lip","上唇"
"upper front teeth","上门牙"
"lower front teeth","下门牙"
"lower right back teeth","右下臼齿"
"upper right back teeth","右上臼齿"
"lower left back teeth","左下臼齿"
"upper left back teeth","左上臼齿"
"Adoration","崇拜"
"Admiration","钦佩"
"Affection","喜爱"
"Aroused","兴奋"
"Caring","关心"
"Empathy","同理"
"Enraptured","陶醉"
"Fondness","喜欢"
"Gratitude","感激"
"Lustful","难以自持"
"Love","爱意"
"Passionate","热情"
"Pleasure","愉悦"
"Proud","自豪"
"Repentant","忏悔"
"Sympathy","同情"
"Tenderness","温柔"
"Amused","好笑"
"Blissful","极度幸福"
"Content","满足"
"Delighted","欣喜"
"Elated","兴高采烈"
"Enjoyment","愉快"
"Euphoric","欣快"
"Expectant","期待"
"Free","自由"
"Gaiety","欢快"
"Happy","开心"
"Hope","有希望"
"Jovial","开朗"
"Joy","喜悦"
"Relieved","放心"
"Satisfied","满意"
"Triumph","得意"
"Optimistic","乐观"
"Astonished","惊讶"
"Awe","敬畏"
"Excited","兴奋"
"Eager","渴望"
"Exhilarated","振奋"
"Interested","有趣"
"Wonder","惊叹"
"Accepting","接纳"
"Ambivalent","矛盾"
"Grim Satisfaction","冷酷的满足"
"Suspicious","怀疑"
"Aggravated","恼火"
"Agitated","焦躁"
"Annoyed","烦恼"
"Anxious","焦虑"
"Bitter","苦涩"
"Bored","无聊"
"Confused","困惑"
"Contemptuous","轻蔑"
"Dejected","沮丧"
"Disappointed","失望"
"Disillusioned","幻灭"
"Dislike","不喜欢"
"Embarrassed","尴尬"
"Exasperated","恼怒"
"Frustrated","挫败"
"Gloomy","阴郁"
"Glum","郁闷"
"Grouchy","脾气暴躁"
"Guilty","内疚"
"Indignant","愤慨"
"Insulted","受辱"
"Irritated","恼火"
"Isolated","被孤立"
"Lonely","孤独"
"Regretful","后悔"
"Resentful","怨恨"
"Restless","坐立不安"
"Self-Pity","自怜"
"Uneasy","不安"
"Worried","担心"
"Anguish","痛苦万分"
"Ashamed","羞愧"
"Despair","绝望"
"Disgusted","厌恶"
"Distressed","痛苦"
"Empty","空虚"
"Existential Crisis","陷入存在危机"
"Frightened","惊恐"
"Grieved","悲痛"
"Hopeless","毫无希望"
"Humiliated","屈辱"
"Mortified","羞愧难当"
"Panicked","惊慌失措"
"Sad","悲伤"
"Shaken","震惊不已"
"Shocked","震惊"
"Alarmed","惊慌"
"Afraid","害怕"
"Angry","愤怒"
"Ferocity","凶狠"
"Horrified","惊骇"
"Loathing","憎恶"
"Outraged","暴怒不已"
"Terrified","极度恐惧"
"Vengeful","复仇心切"
"adoration","崇拜"
"admiration","钦佩"
"affection","喜爱"
"aroused","兴奋"
"enraptured","陶醉"
"fondness","喜欢"
"lustful","难以自持"
"passionate","热情"
"proud","自豪"
"repentant","忏悔"
"amused","好笑"
"blissful","极度幸福"
"content","满足"
"delighted","欣喜"
"elated","兴高采烈"
"euphoric","欣快"
"expectant","期待"
"free","自由"
"happy","开心"
"jovial","开朗"
"relieved","放心"
"satisfied","满意"
"optimistic","乐观"
"astonished","惊讶"
"excited","兴奋"
"eager","渴望"
"exhilarated","振奋"
"interested","有趣"
"accepting","接纳"
"ambivalent","矛盾"
"suspicious","怀疑"
"aggravated","恼火"
"agitated","焦躁"
"annoyed","烦恼"
"anxious","焦虑"
"bitter","苦涩"
"bored","无聊"
"confused","困惑"
"contemptuous","轻蔑"
"dejected","沮丧"
"disappointed","失望"
"disillusioned","幻灭"
"embarrassed","尴尬"
"exasperated","恼怒"
"frustrated","挫败"
"gloomy","阴郁"
"glum","郁闷"
"grouchy","脾气暴躁"
"guilty","内疚"
"indignant","愤慨"
"insulted","受辱"
"irritated","恼火"
"isolated","被孤立"
"lonely","孤独"
"regretful","后悔"
"resentful","怨恨"
"self-pity","自怜"
"uneasy","不安"
"worried","担心"
"ashamed","羞愧"
"disgusted","厌恶"
"distressed","痛苦"
"empty","空虚"
"existential crisis","陷入存在危机"
"frightened","惊恐"
"grieved","悲痛"
"hopeless","毫无希望"
"humiliated","屈辱"
"mortified","羞愧难当"
"panicked","惊慌失措"
"sad","悲伤"
"shocked","震惊"
"alarmed","惊慌"
"afraid","害怕"
"angry","愤怒"
"horrified","惊骇"
"outraged","暴怒不已"
"terrified","极度恐惧"
"vengeful","复仇心切"
"Acceptance","接受"
"Aggravation","恼火"
"Agitation","焦躁"
"Agony","极度痛苦"
"Alarm","惊慌"
"Alienation","被疏离"
"Amazement","惊奇"
"Ambivalence","矛盾"
"Amusement","觉得有趣"
"Anger","愤怒"
"Angst","焦虑不安"
"Annoyance","烦恼"
"Anxiety","焦虑"
"Anything","没有任何感觉"
"Apathy","冷漠"
"Arousal","兴奋"
"Astonishment","惊讶"
"Aversion","厌恶"
"Bitterness","苦涩"
"Bliss","极度幸福"
"Boredom","无聊"
"Confusion","困惑"
"Contempt","轻蔑"
"Contentment","满足"
"Defeat","失败感"
"Dejection","沮丧"
"Delight","欣喜"
"Disappointment","失望"
"Disgust","厌恶"
"Disillusionment","幻灭"
"Dismay","沮丧"
"Displeasure","不满"
"Distress","苦恼"
"Doubt","怀疑"
"Eagerness","渴望"
"Elation","狂喜"
"Embarrassment","尴尬"
"Emptiness","空虚"
"Enthusiasm","热情"
"Euphoria","欣快"
"Exasperation","懊恼"
"Excitement","兴奋"
"Exhilaration","欢腾"
"Expectancy","期待"
"Fear","恐惧"
"Freedom","自由感"
"Fright","惊恐"
"Frustration","挫败"
"Glee","欢喜"
"Gloom","阴郁"
"Glumness","忧郁"
"Grief","悲伤"
"Grouchiness","暴躁"
"Grumpiness","暴躁"
"Guilt","内疚"
"Happiness","快乐"
"Hatred","仇恨"
"Hopelessness","没有希望"
"Horror","恐怖"
"Humiliation","屈辱"
"Insult","受辱"
"Interest","兴趣"
"Irritation","恼怒"
"Isolation","孤立"
"Jolliness","开心"
"Joviality","快乐开朗"
"Jubilation","欢腾"
"Loneliness","孤独"
"Lust","欲望"
"Misery","悲惨"
"Mortification","羞愧难当"
"Nervousness","紧张"
"Nostalgia","怀旧"
"Optimism","乐观"
"Outrage","愤慨"
"Panic","惊慌失措"
"Passion","热血沸腾"
"Patience","冷静"
"Pessimism","悲观"
"Pride","自豪"
"Rage","狂怒"
"Rapture","陶醉"
"Regret","后悔"
"Rejection","被拒绝感"
"Relief","松了口气"
"Remorse","懊悔"
"Repentance","忏悔"
"Resentment","怨恨"
"Righteous Indignation","义愤填膺"
"Sadness","悲伤"
"Satisfaction","满意"
"Self Pity","自怜"
"Servile","卑躬屈膝"
"Shame","羞愧"
"Shock","震惊"
"Suspicion","怀疑"
"Terror","恐惧"
"Thrill","兴奋"
"Uneasiness","不安"
"Unhappiness","不快乐"
"Vengefulness","复仇心"
"Worry","担心"
"Wrath","暴怒"
"Zeal","热忱"
"remembering","回忆起"
